,0
863,1607128
864,1607114
865,1607110
866,1607108
867,1607104
868,1607093
869,1607068
870,1607059
871,1607054
872,1607039
873,1607037
874,1607024
875,1607021
876,1607003
877,1607000
878,1606978
879,1606974
880,1606963
881,1606948
882,1606933
883,1606901
884,1606900
885,1606893
886,1606892
887,1606890
888,1606878
889,1606868
890,1606862
891,1606846
892,1606818
893,1606794
894,1606789
895,1606784
896,1606758
897,1606734
898,1606719
899,1606714
900,1606690
901,1606686
902,1606672
903,1606655
904,1606635
905,1606630
906,1606626
907,1606624
908,1606608
909,1606606
910,1606597
911,1606596
912,1606588
913,1606585
914,1606582
915,1606577
916,1606576
917,1606572
918,1606570
919,1606567
920,1606558
921,1606553
922,1606548
923,1606547
924,1606546
925,1606534
926,1606531
927,1606527
928,1606526
929,1606522
930,1606516
931,1606513
932,1606507
933,1606498
934,1606484
935,1606478
936,1606468
937,1606455
938,1606451
939,1606426
940,1606423
941,1606422
942,1606420
943,1606405
944,1606396
945,1606382
946,1606371
947,1606369
948,1606333
949,1606322
950,1606312
951,1606295
952,1606256
953,1606230
954,1606223
955,1606208
956,1606183
957,1606127
958,1606114
959,1606091
960,1606044
961,1606029
962,1606008
963,1605996
964,1605971
965,1605964
966,1605921
967,1605886
968,1605882
969,1605877
970,1605863
971,1605862
972,1605859
973,1605850
974,1605831
975,1605829
976,1605817
977,1605780
978,1605779
979,1605774
980,1605764
981,1605751
982,1605741
983,1605739
984,1605737
985,1605733
986,1605722
987,1605700
988,1605683
989,1605682
990,1605679
991,1605674
992,1605667
993,1605662
994,1605658
995,1605655
996,1605651
997,1605644
998,1605638
999,1605634
1000,1605621
1001,1605594
1002,1605585
1003,1605576
1004,1605567
1005,1605566
1006,1605551
1007,1605545
1008,1605541
1009,1605523
1010,1605519
1011,1605517
1012,1605516
1013,1605500
1014,1605499
1015,1605489
1016,1605488
1017,1605470
1018,1605446
1019,1605440
1020,1605432
1021,1605424
1022,1605421
1023,1605419
1024,1605407
1025,1605405
1026,1605401
1027,1605399
1028,1605391
1029,1605382
1030,1605375
1031,1605374
1032,1605369
1033,1605359
1034,1605351
1035,1605341
1036,1605340
1037,1605337
1038,1605297
1039,1605295
1040,1605291
1041,1605280
1042,1605262
1043,1605255
1044,1605232
1045,1605225
1046,1605221
1047,1605220
1048,1605215
1049,1605214
1050,1605197
1051,1605192
1052,1605184
1053,1605172
1054,1605164
1055,1605161
1056,1605156
1057,1605152
1058,1605136
1059,1605134
1060,1605132
1061,1605122
1062,1605121
1063,1605113
1064,1605097
1065,1605090
1066,1605087
1067,1605081
1068,1605075
1069,1605067
1070,1605061
1071,1605055
1072,1605040
1073,1605028
1074,1605027
1075,1605020
1076,1605013
1077,1605009
1078,1604997
1079,1604992
1080,1604987
1081,1604980
1082,1604965
1083,1604960
1084,1604957
1085,1604954
1086,1604946
1087,1604940
1088,1604934
1089,1604930
1090,1604915
1091,1604906
1092,1604899
1093,1604895
1094,1604886
1095,1604875
1096,1604872
1097,1604859
1098,1604857
1099,1604854
1100,1604851
1101,1604849
1102,1604846
1103,1604841
1104,1604839
