55,2015 HYUNDAI,SANTA FE,GLS Sport Utility 4D,"V6, GDI, 3.3 Liter",18 City / 25 Hwy,Gray,Gray,"Auto, 6-Spd Shiftronic",4 Door SUV,2,"$14,590","| 105,722 miles"
56,2012 HONDA,CIVIC,LX Sedan 4D,"4-Cyl, VTEC, 1.8 Liter",28 City / 39 Hwy,White,Gray,"Automatic, 5-Spd",4 Door Sedan,1,"$12,590","| 45,184 miles"
57,2015 SUBARU,FORESTER,2.5i Touring Sport Utility 4D,"4-Cyl, PZEV, 2.5 Liter",24 City / 32 Hwy,Beige,Other,"Auto, CVT Lineartronic",4 Door SUV,1,"$16,590","| 91,649 miles"
58,2019 DODGE,GRAND CARAVAN PASSENGER,GT Minivan 4D,"V6, Flex Fuel, 3.6 Liter",17 City / 25 Hwy,Black,Black Interior Color,"Automatic, 6-Spd",4 Door Minivan,1,"$19,590","| 31,501 miles"
59,2012 DODGE,GRAND CARAVAN PASSENGER,SE Minivan 4D,"V6, Flex Fuel, 3.6 Liter",17 City / 25 Hwy,Red,Black,"Automatic, 6-Spd",4 Door Minivan,1,"$13,590","| 39,475 miles"
60,2013 HONDA,CIVIC,LX Sedan 4D,"4-Cyl, I-VTEC, 1.8 Liter",28 City / 39 Hwy,Silver,Other,"Automatic, 5-Spd",4 Door Sedan,1,"$11,990","| 82,751 miles"
61,2013 TOYOTA,SIENNA,L Minivan 4D,"V6, 3.5 Liter",18 City / 25 Hwy,Gray,Beige,"Automatic, 6-Spd",4 Door Minivan,1,"$14,990","| 94,841 miles"
62,2014 CADILLAC,XTS,Vsport Platinum Collection Sedan 4D,"V6, Twin Turbo, 3.6 Liter",16 City / 24 Hwy,Blue,Other,"Automatic, 6-Spd",4 Door Sedan,1,"$23,990","| 61,206 miles"
63,2010 LINCOLN,MKZ,Sedan 4D,"V6, 3.5 Liter",18 City / 27 Hwy,Silver,Lt Camel Perf Lthr Bkts,"Automatic, 6-Spd W/SelectShift",4 Door Sedan,1,"$10,990","| 94,535 miles"
64,2015 CHEVROLET,CAMARO,LT Convertible 2D,"V6, 3.6 Liter",19 City / 30 Hwy,Black,Other,"Auto, 6-Spd W/TAPshift",2 Door Convertible,1,"$17,590","| 63,331 miles"
65,2011 HONDA,CR-V,LX Sport Utility 4D,"4-Cyl, VTEC, 2.4 Liter",21 City / 27 Hwy,Blue,Gray,"Automatic, 5-Spd W/Overdrive",4 Door SUV,2,"$12,590","| 98,593 miles"
66,2010 ACURA,TSX,Sedan 4D,"4-Cyl, VTEC, 2.4 Liter",21 City / 30 Hwy,Gray,Lt. Gray,"Automatic, 5-Spd W/Overdrive & SportShift",4 Door Sedan,1,"$13,990","| 77,461 miles"
67,2011 TOYOTA,PRIUS,One Hatchback 4D,"4-Cyl, Hybrid, 1.8 Liter",51 City / 48 Hwy,Black,Other,"Automatic, CVT",4 Door Hatchback,1,"$11,990","| 100,400 miles"
68,2014 NISSAN,MAXIMA,S Sedan 4D,"V6, 3.5 Liter",19 City / 26 Hwy,Black,Dk. Gray,"Automatic, CVT",4 Door Sedan,1,"$14,590","| 81,628 miles"
69,2014 BMW,X5,xDrive35i Sport Utility 4D,"6-Cyl, Turbo, 3.0 Liter",18 City / 27 Hwy,Black,Black,"Auto, 8-Spd Spt Stptrnc",4 Door SUV,1,"$24,990","| 63,783 miles"
70,2018 ALFA ROMEO,STELVIO,Sport Utility 4D,"4-Cyl, Turbo, 2.0 Liter",22 City / 28 Hwy,Red,Black,"Automatic, 8-Spd",4 Door SUV,1,"$25,990","| 37,244 miles"
71,2017 KIA,NIRO,EX Wagon 4D,"4-Cyl, Hybrid, 1.6 Liter",51 City / 46 Hwy,Black,Charcoal,"Auto, 6-Spd W/Dl Clch Spt",4 Door Wagon,1,"$18,590","| 31,422 miles"
72,2012 HONDA,CIVIC,LX Sedan 4D,"4-Cyl, VTEC, 1.8 Liter",28 City / 39 Hwy,White,Beige,"Automatic, 5-Spd",4 Door Sedan,2,"$11,990","| 37,085 miles"
73,2016 BUICK,ENCORE,Sport Utility 4D,"4-Cyl, ECOTEC, 1.4T",25 City / 33 Hwy,Brown,Ebony,"Auto, 6-Spd OD ShftCtrl",4 Door SUV,1,"$13,590","| 57,529 miles"
74,2014 TOYOTA,CAMRY,LE Sedan 4D,"4-Cyl, 2.5 Liter",25 City / 35 Hwy,Red,Tan,"Automatic, 6-Spd",4 Door Sedan,1,"$12,590","| 99,932 miles"
75,2017 HYUNDAI,TUCSON,SE Sport Utility 4D,"4-Cyl, 2.0 Liter",21 City / 26 Hwy,Black,Black,"Auto, 6-Spd Shiftronic",4 Door SUV,1,"$17,990","| 14,142 miles"
76,2014 FORD,FIESTA,SE Hatchback 4D,"4-Cyl, 1.6 Liter",28 City / 36 Hwy,Gray,Charcoal Black Cloth Seats,"Manual, 5-Spd",4 Door Hatchback,1,"$9,990","| 71,020 miles"
77,2013 TOYOTA,4RUNNER,SR5 Sport Utility 4D,"V6, 4.0 Liter",17 City / 22 Hwy,Red,Black,"Automatic, 5-Spd",4 Door SUV,1,"$24,590","| 80,321 miles"
78,2015 TOYOTA,CAMRY,XLE Sedan 4D,"4-Cyl, 2.5 Liter",25 City / 35 Hwy,Red,Tan,"Automatic, 6-Spd",4 Door Sedan,1,"$16,590","| 44,396 miles"
79,2010 TOYOTA,PRIUS,IV Hatchback 4D,"4-Cyl, Hybrid, 1.8 Liter",51 City / 48 Hwy,Blue,Beige,"Automatic, CVT",4 Door Hatchback,1,"$11,990","| 102,081 miles"
80,2016 HYUNDAI,ELANTRA GT,Hatchback 4D,"4-Cyl, 2.0 Liter",24 City / 33 Hwy,Gray,Black,"Auto, 6-Spd Shiftronic",4 Door Hatchback,1,"$10,990","| 95,454 miles"
81,2014 MERCEDES-BENZ,E-CLASS,E 350 Sedan 4D,"V6, 3.5 Liter",21 City / 30 Hwy,Gray,Gray,"Auto, 7-Spd Sport Mode",4 Door Sedan,1,"$23,590","| 31,235 miles"
82,2012 HYUNDAI,VELOSTER,Coupe 3D,"4-Cyl, 1.6 Liter",27 City / 35 Hwy,Blue,Black,"Auto, 6-Spd EcoShift DCT",3 Door Coupe,1,"$12,590","| 58,770 miles"
83,2014 NISSAN,SENTRA,SR Sedan 4D,"4-Cyl, 1.8 Liter",30 City / 39 Hwy,Silver,Black,"Automatic, CVT W/Xtronic",4 Door Sedan,1,"$10,990","| 60,879 miles"
84,2018 CHEVROLET,SILVERADO 1500 REGULAR CAB,LS Pickup 2D 8 ft,"V6 EcoTec3, FF, 4.3L",17 City / 22 Hwy,White,Dk. Gray,"Auto, 6-Spd HD Overdrive",2 Door Truck,1,"$27,590","| 33,080 miles"
85,2012 CADILLAC,SRX,Sport Utility 4D,"V6, Flex Fuel, 3.6 Liter",17 City / 24 Hwy,Black,Ebony W/Ebony Accents,"Auto, 6-Spd W/TAPshift",4 Door SUV,1,"$16,990","| 58,963 miles"
86,2014 CHEVROLET,CRUZE,2LT Sedan 4D,"4-Cyl, ECOTEC, 1.4T",26 City / 38 Hwy,Black,Black,"Automatic, 6-Spd W/Overdrive",4 Door Sedan,1,"$11,590","| 76,012 miles"
87,2018 NISSAN,SENTRA,SR Sedan 4D,"4-Cyl, 1.8 Liter",29 City / 37 Hwy,Black,Black,"Auto, CVT W/Xtronic",4 Door Sedan,1,"$15,590","| 26,372 miles"
88,2012 TOYOTA,SIENNA,XLE Minivan 4D,"V6, 3.5 Liter",18 City / 25 Hwy,Green,Lt. Gray,"Automatic, 6-Spd",4 Door Minivan,2,"$18,990","| 90,445 miles"
89,2013 HYUNDAI,SONATA,GLS Sedan 4D,"4-Cyl, 2.4 Liter",24 City / 35 Hwy,Gray,Gray,"Auto, 6-Spd WShiftronic & Active ECO System",4 Door Sedan,1,"$11,590","| 101,040 miles"
